ISO,Country ORIGINAL,Country
AFG,Afghanistan,Afghanistan
ALB,Albania,Albania
DZA,Algeria,Algeria
ASM,American Samoa,American Samoa
AGO,Angola,Angola
AIA,Anguilla,Anguilla
ATG,Antigua and Barbuda,Antigua and Barbuda
ARG,Argentina,Argentina
ARM,Armenia,Armenia
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
AZO,Azores Islands,Azores Islands
BHS,Bahamas (the),Bahamas
BHR,Bahrain,Bahrain
BGD,Bangladesh,Bangladesh
BRB,Barbados,Barbados
BLR,Belarus,Belarus
BEL,Belgium,Belgium
BLZ,Belize,Belize
BEN,Benin,Benin
BMU,Bermuda,Bermuda
BTN,Bhutan,Bhutan
BOL,Bolivia (Plurinational State of),Bolivia
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Botswana,Botswana
BRA,Brazil,Brazil
BRN,Brunei Darussalam,Brunei
BGR,Bulgaria,Bulgaria
BFA,Burkina Faso,Burkina Faso
BDI,Burundi,Burundi
CIV,Côte d’Ivoire,Côte d’Ivoire
CPV,Cabo Verde,Cabo Verde
KHM,Cambodia,Cambodia
CMR,Cameroon,Cameroon
CAN,Canada,Canada
SPI,Canary Is,Canary Islands
CYM,Cayman Islands (the),Cayman Islands
CAF,Central African Republic,Central African Republic
TCD,Chad,Chad
CHL,Chile,Chile
CHN,China,China
COL,Colombia,Colombia
COM,Comoros (the),Comoros
COD,Congo (the Democratic Republic of the),Democratic Republic of Congo
COG,Congo (the),Congo
COK,Cook Islands (the),Cook Islands
CRI,Costa Rica,Costa Rica
HRV,Croatia,Croatia
CUB,Cuba,Cuba
CYP,Cyprus,Cyprus
CZE,Czech Republic (the),Czech Republic
CSK,Czechoslovakia,Czechoslovakia
DNK,Denmark,Denmark
DJI,Djibouti,Djibouti
DMA,Dominica,Dominica
DOM,Dominican Republic (the),Dominican Republic
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
SLV,El Salvador,El Salvador
GNQ,Equatorial Guinea,Equatorial Guinea
ERI,Eritrea,Eritrea
EST,Estonia,Estonia
