,Year,Disaster Subgroup,Disaster Type,Event Name,ISO,Country,Region,Continent,Latitude,Longitude,Local Time,Total Damages ('000 US$)
0,1900,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
1,1900,Climatological,Drought,,IND,India,Southern Asia,Asia,,,,
2,1902,Geophysical,Earthquake,,GTM,Guatemala,Central America,Americas,14,-91,20:20,25000.0
3,1902,Geophysical,Volcanic activity,Santa Maria,GTM,Guatemala,Central America,Americas,,,,
4,1902,Geophysical,Volcanic activity,Santa Maria,GTM,Guatemala,Central America,Americas,,,,
5,1903,Geophysical,Mass movement (dry),,CAN,Canada,Northern America,Americas,,,,
6,1903,Geophysical,Volcanic activity,Mount Karthala,COM,Comoros,Eastern Africa,Africa,,,,
7,1904,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
8,1905,Geophysical,Mass movement (dry),,CAN,Canada,Northern America,Americas,,,,
9,1905,Geophysical,Earthquake,,IND,India,Southern Asia,Asia,32.04,76.16,06:20,25000.0
10,1906,Geophysical,Earthquake,,CHL,Chile,South America,Americas,33.05,71.4,19:57,100000.0
11,1906,Geophysical,Earthquake,,COL,Colombia,South America,Americas,1.51 N,78.46 W ,,
12,1906,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
13,1906,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
14,1906,Meteorological,Storm,,HKG,Hong Kong,Eastern Asia,Asia,,,,20000.0
15,1907,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,38.5,69.9,09:23,
16,1907,Biological,Epidemic,Bubonic,IND,India,Southern Asia,Asia,,,,
17,1908,Geophysical,Mass movement (dry),,CAN,Canada,Northern America,Americas,,,,
18,1909,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
19,1909,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
20,1909,Biological,Epidemic,Bubonic,CHN,China,Eastern Asia,Asia,,,,
21,1909,Geophysical,Earthquake,,FRA,France,Western Europe,Europe,44.05,6.14,21:15,
22,1909,Meteorological,Storm,,HTI,Haiti,Caribbean,Americas,,,,
23,1909,Biological,Epidemic,Bubonic,IDN,Indonesia,South-Eastern Asia,Asia,,,,
24,1910,Climatological,Drought,,BFA,Burkina Faso,Western Africa,Africa,,,,
25,1910,Hydrological,Landslide,,CAN,Canada,Northern America,Americas,,,,
26,1910,Biological,Epidemic,Pneumonic,CHN,China,Eastern Asia,Asia,,,,
27,1910,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
28,1910,Geophysical,Earthquake,,CRI,Costa Rica,Central America,Americas,9.8,-84,,
29,1910,Geophysical,Earthquake,,DZA,Algeria,Northern Africa,Africa,36,4,13:36,
30,1910,Climatological,Drought,,GMB,Gambia,Western Africa,Africa,,,,
31,1910,Climatological,Drought,,GNB,Guinea-Bissau,Western Africa,Africa,,,,
32,1911,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
33,1911,Climatological,Wildfire,,CAN,Canada,Northern America,Americas,,,,
34,1911,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
35,1912,Meteorological,Storm,,CAN,Canada,Northern America,Americas,,,,5000.0
36,1912,Meteorological,Storm,,CHN,China,Eastern Asia,Asia,,,,
37,1914,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-3.924,101.82,03:07,
38,1915,Hydrological,Landslide,,CAN,Canada,Northern America,Americas,,,,
39,1915,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
40,1915,Meteorological,Storm,,HTI,Haiti,Caribbean,Americas,,,,
41,1916,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
42,1917,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,28,104,07:00,
43,1917,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
44,1917,Geophysical,Earthquake,,GTM,Guatemala,Central America,Americas,14.38,-90.22,22:27,
45,1917,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-7,116,07:08,
46,1918,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,23.5,117,14:07,
47,1918,Biological,Epidemic,Influenza,BGD,Bangladesh,Southern Asia,Asia,,,,
48,1918,Biological,Epidemic,Spanish Influenza,CAN,Canada,Northern America,Americas,,,,
49,1919,Biological,Epidemic,,AIA,Anguilla,Caribbean,Americas,,,,
50,1919,Climatological,Drought,,AIA,Anguilla,Caribbean,Americas,,,,
51,1919,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
52,1919,Geophysical,Volcanic activity,Mt. Kelud,IDN,Indonesia,South-Eastern Asia,Asia,,,,
53,1920,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,36.888,105.606,19:11,25000.0
54,1920,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
55,1920,Biological,Epidemic,,AIA,Anguilla,Caribbean,Americas,,,,
56,1920,Climatological,Drought,,CHN,China,Eastern Asia,Asia,,,,
57,1920,Hydrological,Flood,,DFR,Germany,Western Europe,Europe,,,,20000.0
